longitude,latitude,comuna
-70.5176044,-33.3726576,Vitacura
-70.5203172,-33.3738752,Vitacura
-70.5257191,-33.3762083,Vitacura
-70.5273603,-33.3771453,Vitacura
-70.527738,-33.3774874,Vitacura
-70.5283897,-33.3781969,Vitacura
-70.5292189,-33.3791582,Vitacura
-70.5307971,-33.3807273,Vitacura
-70.5314249,-33.3813309,Vitacura
-70.531528,-33.3814275,Vitacura
-70.5316353,-33.3815316,Vitacura
-70.5318564,-33.3817458,Vitacura
-70.5324966,-33.3823613,Vitacura
-70.5339042,-33.3837732,Vitacura
-70.5342389,-33.3840671,Vitacura
-70.5348569,-33.3844326,Vitacura
-70.5356208,-33.3847909,Vitacura
-70.5381871,-33.3858444,Vitacura
-70.5393623,-33.3863487,Vitacura
-70.5402182,-33.3866963,Vitacura
-70.5419569,-33.3873524,Vitacura
-70.5432924,-33.3878871,Vitacura
-70.543967,-33.3881569,Vitacura
-70.5446456,-33.3884011,Vitacura
-70.5458482,-33.3887977,Vitacura
-70.5467125,-33.3890859,Vitacura
-70.54734,-33.3893384,Vitacura
-70.5479851,-33.3896351,Vitacura
-70.5486252,-33.3898834,Vitacura
-70.5496046,-33.3902417,Vitacura
-70.5501613,-33.3904277,Vitacura
-70.5507459,-33.3906474,Vitacura
-70.553774,-33.3917855,Vitacura
-70.5579711,-33.393276,Vitacura
-70.5615069,-33.3945137,Vitacura
-70.5629335,-33.3949888,Vitacura
-70.5643742,-33.3954908,Vitacura
-70.5670349,-33.3964044,Vitacura
-70.5688179,-33.3970472,Vitacura
-70.5706182,-33.3977184,Vitacura
-70.5723619,-33.3983877,Vitacura
-70.5740999,-33.3990685,Vitacura
-70.5770236,-33.4001892,Vitacura
-70.5776069,-33.4004288,Vitacura
-70.5794617,-33.4012136,Vitacura
-70.5815108,-33.4020724,Vitacura
-70.5825113,-33.4024933,Vitacura
-70.5830759,-33.4027206,Vitacura
-70.5834125,-33.4028639,Vitacura
-70.5836378,-33.4029692,Vitacura
-70.5845014,-33.4034155,Vitacura
-70.5856107,-33.4038707,Vitacura
-70.5863334,-33.4040799,Vitacura
-70.5867354,-33.404171,Vitacura
-70.5874832,-33.4043513,Vitacura
-70.5884501,-33.4045338,Vitacura
-70.5893969,-33.4047242,Vitacura
-70.5897443,-33.4048081,Vitacura
-70.5900956,-33.4049078,Vitacura
-70.5909781,-33.4052134,Vitacura
-70.5930407,-33.4059646,Vitacura
-70.5959603,-33.4069756,Vitacura
-70.59649,-33.4071614,Vitacura
-70.5968213,-33.4072801,Vitacura
-70.5970184,-33.4073584,Vitacura
-70.5974449,-33.4075566,Vitacura
-70.5976702,-33.407645,Vitacura
-70.597896,-33.4077189,Vitacura
-70.5982876,-33.4078488,Vitacura
-70.5985827,-33.4079417,Vitacura
-70.5987906,-33.408001,Vitacura
-70.5989999,-33.4080391,Vitacura
-70.5991755,-33.4080547,Vitacura
-70.5993417,-33.4080626,Vitacura
-70.59996,-33.4080816,Vitacura
-70.6004912,-33.4080984,Vitacura
-70.6010248,-33.4081186,Vitacura
-70.6014179,-33.408132,Vitacura
-70.6016498,-33.4081421,Vitacura
-70.6019985,-33.4081812,Vitacura
-70.6022561,-33.4082294,Vitacura
-70.6025269,-33.4082999,Vitacura
-70.6028715,-33.4084107,Vitacura
-70.6036252,-33.4086548,Vitacura
-70.604143,-33.4088227,Vitacura
-70.6046686,-33.4089918,Vitacura
-70.6053754,-33.4092326,Vitacura
-70.6072073,-33.408623,Vitacura
-70.608778,-33.4082074,Vitacura
-70.6099539,-33.4081358,Vitacura
-70.6107919,-33.4082,Vitacura
-70.6116705,-33.4083722,Vitacura
-70.6124173,-33.4086015,Vitacura
-70.613473,-33.4088379,Vitacura
-70.5957137,-33.3366861,Lo Barnechea
-70.5949841,-33.3361125,Lo Barnechea
-70.5939541,-33.3352161,Lo Barnechea
-70.5934391,-33.3339612,Lo Barnechea
-70.5933962,-33.3328855,Lo Barnechea
-70.5940829,-33.331523,Lo Barnechea
-70.5948554,-33.3304115,Lo Barnechea
-70.5950699,-33.3293716,Lo Barnechea
-70.5958424,-33.3283676,Lo Barnechea
-70.5966578,-33.3274712,Lo Barnechea
-70.5968724,-33.326503,Lo Barnechea
-70.5978165,-33.3247818,Lo Barnechea
-70.5990181,-33.3229171,Lo Barnechea
-70.5996619,-33.3213035,Lo Barnechea
-70.5999194,-33.3197615,Lo Barnechea
-70.5999623,-33.3179325,Lo Barnechea
-70.5999194,-33.316785,Lo Barnechea
-70.6003485,-33.3156015,Lo Barnechea
-70.6015501,-33.3139518,Lo Barnechea
-70.6026659,-33.3121228,Lo Barnechea
-70.6034813,-33.3114055,Lo Barnechea
-70.6040392,-33.3106165,Lo Barnechea
-70.6035672,-33.3097198,Lo Barnechea
-70.6018076,-33.3086439,Lo Barnechea
-70.6009922,-33.3076755,Lo Barnechea
-70.5994651,-33.3072191,Lo Barnechea
-70.5979846,-33.3080436,Lo Barnechea
-70.5974783,-33.3083257,Lo Barnechea
-70.5960193,-33.307716,Lo Barnechea
-70.5939719,-33.3050671,Lo Barnechea
-70.591912,-33.3036324,Lo Barnechea
-70.5912253,-33.3013369,Lo Barnechea
-70.591912,-33.2991847,Lo Barnechea
-70.590882,-33.2977499,Lo Barnechea
-70.5884787,-33.2961717,Lo Barnechea
-70.5852172,-33.2945933,Lo Barnechea
-70.5821273,-33.2925845,Lo Barnechea
-70.578179,-33.2897147,Lo Barnechea
-70.5757758,-33.2867013,Lo Barnechea
-70.5725142,-33.2821093,Lo Barnechea
-70.5704543,-33.2790956,Lo Barnechea
-70.5697676,-33.2739291,Lo Barnechea
-70.5721709,-33.269767,Lo Barnechea
-70.5730292,-33.2667529,Lo Barnechea
-70.5726859,-33.2648869,Lo Barnechea
-70.5704543,-33.2625904,Lo Barnechea
-70.5687377,-33.2594325,Lo Barnechea
